province,city,lease_term,type,furnishing,availability_date,smoking
alberta,airdrie,long term,townhouse,unfurnished,immediate,non-smoking
british columbia,aldersyde,negotiable,apartment,furnished,november 18,smoke free building
manitoba,balzac,short term,main floor,negotiable,july 01,negotiable
new brunswick,banff,12 months,house,"unfurnished, negotiable",august 01,smoking allowed
newfoundland and labrador,beaumont,months,basement,,june 15,
nova scotia,beiseker,6 months,condo unit,,july 31,
ontario,black diamond,,room for rent,,june 30,
quebec,bonnyville,,duplex,,july 15,
saskatchewan,brooks,,loft,,july 07,
,bruderheim,,storage,,july 18,
,calgary,,office space,,september 01,
,camrose,,parking spot,,negotiable,
,canmore,,vacation home,,no vacancy,
,carmangay,,acreage,,august 15,
,chestermere,,mobile,,august 07,
,cochrane,,,,june 14,
,cold lake,,,,july 04,
,crossfield,,,,july 05,
,de winton,,,,august 06,
,drumheller,,,,july 11,
,duchess,,,,june 19,
,edmonton,,,,call for availability,
,edson,,,,september 07,
,fort mcmurray,,,,july 12,
,fort saskatchewan,,,,june 17,
,grande prairie,,,,october 03,
,high river,,,,june 25,
,innisfail,,,,june 18,
,langdon,,,,august 23,
,leduc,,,,july 23,
,lethbridge,,,,july 02,
,medicine hat,,,,october 01,
,morinville,,,,july 08,
,nisku,,,,june 16,
,okotoks,,,,june 20,
,olds,,,,june 21,
,peace river,,,,june 22,
,ponoka,,,,june 23,
,priddis,,,,june 24,
,red deer,,,,june 26,
,rocky view,,,,june 28,
,shaughnessy,,,,june 29,
,sherwood park,,,,july 22,
,slave lake,,,,november 01,
,spruce grove,,,,july 03,
,st. albert,,,,july 09,
,st. paul,,,,july 06,
,stony plain,,,,july 10,
,strathmore,,,,july 16,
,sylvan lake,,,,july 17,
,wainwright,,,,july 20,
,westlock,,,,july 27,
,wetaskiwin,,,,july 30,
,whitecourt,,,,august 02,
,abbotsford,,,,august 04,
,burnaby,,,,august 05,
,campbell river,,,,august 09,
,chilliwack,,,,august 10,
,colwood,,,,august 11,
,comox,,,,august 16,
,coquitlam,,,,august 20,
,courtenay,,,,august 22,
,cranbrook,,,,august 25,
,dawson creek,,,,august 26,
,delta,,,,august 29,
,duncan,,,,august 30,
,fort nelson,,,,august 31,
,fort st john,,,,september 02,
,golden,,,,september 03,
,horseshoe bay,,,,september 05,
,invermere,,,,september 08,
,kamloops,,,,september 15,
,kelowna,,,,september 30,
,kitimat,,,,october 04,
,ladysmith,,,,october 07,
,lake country,,,,october 11,
,langford,,,,october 16,
,langley,,,,october 19,
,maple ridge,,,,october 31,
,mission,,,,november 15,
,nanaimo,,,,december 01,
,new westminster,,,,december 30,
,north cowichan,,,,september 10,
,parksville,,,,june 27,
,penticton,,,,october 15,
,port alberni,,,,july 13,
,port coquitlam,,,,july 14,
,port moody,,,,august 14,
,prince george,,,,july 21,
,richmond,,,,july 28,
,saanich,,,,august 21,
,sooke,,,,march 15,
,squamish,,,,may 01,
,summerland,,,,august 13,
,surrey,,,,july 29,
,taylor,,,,july 26,
,vancouver,,,,august 03,
,vernon,,,,september 09,
,victoria,,,,august 12,
,wardner,,,,july 25,
,west kelowna,,,,august 17,
,west vancouver,,,,september 29,
,white rock,,,,november 24,
,beausejour,,,,may 08,
,blumenort,,,,july 24,
,brandon,,,,september 06,
,headingley,,,,august 08,
,ile des chênes,,,,october 02,
,niverville,,,,september 14,
,portage la prairie,,,,january 01,
,saint adolphe,,,,november 05,
,selkirk,,,,september 19,
,steinbach,,,,october 10,
,thompson,,,,november 07,
,west st. paul,,,,december 04,
,winnipeg,,,,december 10,
,dieppe,,,,may 10,
,moncton,,,,may 24,
,saint john,,,,january 31,
,st. john's,,,,march 31,
,bedford,,,,january 05,
,bridgewater,,,,may 05,
,glace bay,,,,october 30,
,halifax,,,,march 05,
,ajax,,,,february 28,
,amherstview,,,,november 29,
,ancaster,,,,august 28,
,aurora,,,,september 12,
,ayr,,,,december 31,
,barrie,,,,may 31,
,belleville,,,,october 05,
,bolton,,,,,
,bowmanville,,,,,
,bradford,,,,,
,braeside,,,,,
,brampton,,,,,
,brantford,,,,,
,breslau,,,,,
,brockville,,,,,
,burlington,,,,,
,caledon,,,,,
,cambridge,,,,,
,carleton place,,,,,
,chatham,,,,,
,clarington,,,,,
,collingwood,,,,,
,cornwall,,,,,
,deep river,,,,,
,east gwillimbury,,,,,
,east york,,,,,
,fergus,,,,,
,fort erie,,,,,
,georgina,,,,,
,gloucester,,,,,
,gravenhurst,,,,,
,grimsby,,,,,
,guelph,,,,,
,hamilton,,,,,
,hanover,,,,,
,huntsville,,,,,
,innisfil,,,,,
,kanata,,,,,
,kingston,,,,,
,kitchener,,,,,
,lasalle,,,,,
,leamington,,,,,
,lindsay,,,,,
,listowel,,,,,
,london,,,,,
,lucan,,,,,
,markham,,,,,
,milton,,,,,
,mississauga,,,,,
,mount forest,,,,,
,newmarket,,,,,
,niagara falls,,,,,
,niagara-on-the-lake,,,,,
,north bay,,,,,
,north york,,,,,
,oakville,,,,,
,orangeville,,,,,
,orillia,,,,,
,oshawa,,,,,
,ottawa,,,,,
,owen sound,,,,,
,paris,,,,,
,pelham,,,,,
,penetanguishene,,,,,
,peterborough,,,,,
,pickering,,,,,
,port colborne,,,,,
,port elgin,,,,,
,prince edward,,,,,
,richmond hill,,,,,
,ridgetown,,,,,
,st thomas,,,,,
,sarnia,,,,,
,sault ste. marie,,,,,
,scarborough,,,,,
,st. catharines,,,,,
,stoney creek,,,,,
,stratford,,,,,
,strathroy,,,,,
,sudbury,,,,,
,tecumseh,,,,,
,thorold,,,,,
,thunder bay,,,,,
,tilbury,,,,,
,tillsonburg,,,,,
,timmins,,,,,
,toronto,,,,,
,trenton,,,,,
,vanier,,,,,
,vaughan,,,,,
,waterloo,,,,,
,welland,,,,,
,whitby,,,,,
,whitchurch-stouffville,,,,,
,windsor,,,,,
,woodstock,,,,,
,wyoming,,,,,
,boisbriand,,,,,
,brossard,,,,,
,côte saint-luc,,,,,
,candiac,,,,,
,dorval,,,,,
,gatineau,,,,,
,hampstead,,,,,
,laval,,,,,
,longueuil,,,,,
,mascouche,,,,,
,mont-saint-hilaire,,,,,
,montréal,,,,,
,pointe-claire,,,,,
,quebec city,,,,,
,repentigny,,,,,
,saguenay,,,,,
,saint-constant,,,,,
,saint-hyacinthe,,,,,
,saint-jérôme,,,,,
,sherbrooke,,,,,
,terrebonne,,,,,
,varennes,,,,,
,vaudreuil-dorion,,,,,
,ville-marie,,,,,
,westmount,,,,,
,assiniboia,,,,,
,christopher lake,,,,,
,lloydminster,,,,,
,moose jaw,,,,,
,outlook,,,,,
,pilot butte,,,,,
,prince albert,,,,,
,regina,,,,,
,saskatoon,,,,,
,swift current,,,,,
,warman,,,,,
,yorkton,,,,,
